ContentID,ParentContentID,AssociateType,AssociateID,FileName,PageTitle,AdditionalPageTitle,MetaKeywords,MetaDescription,Template,CreatedDate,CreatedByUserID,PublishedDate,LastUpdated,UpdatedByUserID,Protected,Rank,ProductRank,Enabled,Featured,RedirectContentID,Views,MapID,GalleryID,NotificationType,paraent_catagory_content_id
9563,4991,Category,289,/woodstock-chimes/chimes-multibuy-2-for-1999/,"Chimes Multibuy 2 for £19.99",,,,category.aspx,11/14/2016,6,11/14/2016,11/14/2016,6,0,1,0,1,0,0,5890,0,0,0,4991
9669,188,Category,292,/search-by-stone-type/lapis-lazuli/,"Lapis Lazuli",,,,category.aspx,1/12/2017,6,1/12/2017,1/12/2017,2,0,1,0,1,0,0,5103,0,0,0,188
9908,0,Category,293,/fair-trade-gifts/,"Fair Trade Gifts",,,,category.aspx,5/5/2017,6,5/5/2017,10/28/2020,2,0,1,0,1,1,0,9837,0,0,0,
10031,188,Category,294,/search-by-stone-type/unakite/,Unakite,,,,category.aspx,6/1/2017,6,6/1/2017,6/1/2017,2,0,1,0,1,0,0,4391,0,0,0,188
10201,0,Category,296,/shabby-plaques/,"Shabby Plaques",,,,category.aspx,8/24/2017,6,8/24/2017,10/28/2020,2,0,1,0,1,1,0,6986,0,0,0,
10659,188,Category,302,/search-by-stone-type/rhodonite/,Rhodonite,,,,category.aspx,1/29/2018,6,1/29/2018,1/29/2018,2,0,1,0,1,0,0,3782,0,0,0,188
11966,0,Category,303,/scented-sachets/,"Scented Sachets",,,,category.aspx,4/12/2018,6,4/12/2018,10/23/2020,2,0,1,0,1,1,0,6689,0,0,0,
12981,0,Category,304,/official-licensed-merchandise/,"Official Licensed Merchandise",,,,category.aspx,5/2/2018,6,5/2/2018,12/31/2020,2,0,1,0,1,1,0,7206,0,0,0,
13047,0,Category,305,/any-3-for-999-multi-buy/,"Any 3 For £9.99 Multi Buy!","| Multi Buy Offers All At Any 3 Items For £9.99","Multi Buy Offers Gifts Avena","A range of Avena gifts in a multibuy offer. All at any 3 for £9.99",category.aspx,5/19/2018,6,5/19/2018,10/29/2020,2,0,1,0,1,0,0,8006,0,0,0,
13048,0,Category,306,/any-2-for-999-multi-buy/,"Any 2 For £9.99 Multi Buy!","| Multi Buy Offers All At Any 2 Items For £9.99","Multi Buy Offers Gifts Avena","A range of Avena gifts in a multibuy offer. All at any 2 for £9.99",category.aspx,5/19/2018,6,5/19/2018,10/29/2020,2,0,1,0,1,0,0,6837,0,0,0,
13049,0,Category,307,/any-2-for-1999-multi-buy/,"Any 2 For £19.99 Multi Buy!","| Multi Buy Offers All At Any 2 Items For £19.99","Multi Buy Offers Gifts Avena","A range of Avena gifts in a multibuy offer. All at any 2 for £19.99",category.aspx,5/19/2018,6,5/19/2018,10/29/2020,2,0,1,0,1,0,0,8225,0,0,0,
13056,0,Category,308,/any-10-for-10-multi-buy/,"Any 10 For £10 Multi Buy!","| Mix and Match any 10 £1.29 item for £10","Multi Buy Offers Gifts Avena",,category.aspx,5/26/2018,6,5/26/2018,10/29/2020,2,0,1,0,1,0,0,9986,0,0,0,
20034,0,Category,309,/any-2-for-4999-multi-buy/,"Any 2 For £49.99 Multi Buy!","| Multibuy Any 2 Items For £49.99","avena, multi, buy, discount, save, value",,category.aspx,7/24/2019,24,7/24/2019,10/29/2020,2,0,1,0,1,0,0,5020,0,0,0,
24543,0,Category,311,/stone-eggs/,"Stone Eggs",,,,category.aspx,10/22/2020,2,10/22/2020,10/28/2020,2,0,1,0,1,1,0,4188,0,0,0,
24546,188,Category,312,/search-by-stone-type/aragonite/,Aragonite,,,,category.aspx,10/22/2020,2,10/22/2020,10/22/2020,2,0,1,0,1,0,0,2208,0,0,0,188
24563,188,Category,314,/search-by-stone-type/bronzite/,Bronzite,,,,category.aspx,10/22/2020,2,10/22/2020,10/22/2020,2,0,1,0,1,0,0,2227,0,0,0,188
24564,188,Category,315,/search-by-stone-type/cats-eye/,"Cat's Eye",,,,category.aspx,10/22/2020,2,10/22/2020,10/22/2020,2,0,1,0,1,0,0,2052,0,0,0,188
24565,188,Category,316,/search-by-stone-type/mookaite/,Mookaite,,,,category.aspx,10/22/2020,2,10/22/2020,10/22/2020,2,0,1,0,1,0,0,2250,0,0,0,188
25499,0,Category,318,/chakra/,Chakra,,,,category.aspx,10/23/2020,2,10/23/2020,10/28/2020,2,0,1,0,1,1,0,4974,0,0,0,
25531,0,Category,319,/smudge-sticks/,"Smudge Sticks",,,,category.aspx,10/23/2020,2,10/23/2020,10/28/2020,2,0,1,0,1,1,0,3849,0,0,0,
25563,0,Category,320,/tree-of-life/,"Tree Of Life",,,,category.aspx,10/28/2020,2,10/28/2020,10/28/2020,2,0,1,0,1,1,0,4080,0,0,0,
25655,0,Category,321,/realistic-artificial-plants-flowers/,"Realistic Artificial Plants & Flowers",,,,category.aspx,10/29/2020,2,10/29/2020,2/19/2024,2,0,0,0,1,1,0,4453,0,0,0,
25656,188,Category,322,/search-by-stone-type/amazonite/,Amazonite,,,,category.aspx,10/29/2020,2,10/29/2020,10/29/2020,2,0,1,0,1,0,0,2149,0,0,0,188
25657,188,Category,323,/search-by-stone-type/angelite/,Angelite,,,,category.aspx,10/29/2020,2,10/29/2020,10/29/2020,2,0,1,0,1,0,0,2223,0,0,0,188
25663,188,Category,324,/search-by-stone-type/pyrite/,Pyrite,,,,category.aspx,11/2/2020,2,11/2/2020,11/2/2020,2,0,1,0,1,0,0,2115,0,0,0,188
